UserId,artistIds
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
c2aa8e8a646e80660cc975f55a2d1d09,742789
c2aa8e8a646e80660cc975f55a2d1d09,1546334
